kota_id,nama_kota,longitude,latitude
3171,Kota Jakarta Pusat,106.834091,-6.186486
3172,Kota Jakarta Utara,106.774124,-6.121435
3173,Kota Jakarta Barat,106.813301,-6.1352
3174,Kota Jakarta Selatan,106.814095,-6.300641
3175,Kota Jakarta Timur,106.895859,-6.264451
3573,Kota Malang,112.626503,-7.981894
3578,Kota Surabaya,112.734398,-7.289166
3471,Kota Yogyakarta,110.368797,-7.797224
3273,Kota Bandung,107.6098111,-6.9147444
1371,Kota Padang,100.3530556,-0.95
1375,Kota Bukittinggi,100.3691667,-0.3055556
6471,Kota Balikpapan,116.8278833,-1.2635389
6472,Kota Samarinda,117.153801,-0.502183
7371,Kota Makassar,119.4166667,-5.1333333
5171,Kota Denpasar,115.222099,-8.65629
